Case #,Year,Date,Country,State,Description,Deaths,Tesla driver,Tesla occupant,Other vehicle,Cyclists/Peds,TSLA+cycl / peds,Model,Autopilot claimed,Reported in NHTSA SGO
191,2021,12/1/2021,USA,CA," Collision with pole, battery ignited ",1,1,0,0,0,1,3,FALSE,#N/A
190,2021,11/29/2021,USA,CA,DUI crash with parked car,1,0,0,1,0,0,#N/A,FALSE,#N/A
189,2021,11/15/2021,USA,CA,Pedestrian hit at crosswalk,1,0,0,0,0,1,#N/A,FALSE,#N/A
188,2021,11/8/2021,USA,AZ,Three car collision,1,0,0,1,0,0,#N/A,FALSE,#N/A
187,2021,11/8/2021,USA,OH," Tesla hits fixture, catches fire ",1,1,0,0,0,1,#N/A,FALSE,#N/A
186,2021,11/6/2021,USA,NV,DUI crash,1,0,1,0,0,1,Y,FALSE,#N/A
185,2021,11/4/2021,USA,FL,Tesla hits bicyclist before crashing,1,0,0,0,1,1,#N/A,FALSE,#N/A
184,2021,10/28/2021,USA,GA,Multi-collision event on highway,1,0,0,1,0,0,#N/A,FALSE,#N/A
183,2021,10/15/2021,USA,AZ,Toyota hits Tesla,1,0,0,1,0,0,#N/A,FALSE,#N/A
182,2021,9/17/2021,USA,IA,Three-way car collision,1,0,0,1,0,0,#N/A,FALSE,#N/A
181,2021,9/13/2021,USA,FL," Tesla suffers suspension failure, hits tree, and ignites on fire ",2,1,1,0,0,2,3,FALSE,#N/A
179,2021,9/4/2021,USA,FL," Tesla runs stop sign, crashes into house ",2,0,1,0,1,2,S,FALSE,#N/A
178,2021,8/29/2021,USA,NY," Car hits utility pole, ignites ",2,1,1,0,0,2,3,FALSE,#N/A
176,2021,8/25/2021,USA,AZ,Tesla runs a red light and hits another car,3,0,0,3,0,0,#N/A,FALSE,#N/A
175,2021,8/17/2021,USA,PA,Tesla crashes into guardrail,1,1,0,0,0,1,3,FALSE,#N/A
173,2021,7/26/2021,USA,NY,Pedestrian hit on shoulder,1,0,0,0,1,1,Y,TRUE,13781-21
172,2021,7/23/2021,USA,GA,Tesla Driver loses control and hits median barrier,1,1,0,0,0,1,3,FALSE,#N/A
171,2021,7/21/2021,USA,GA,Tesla driver hits man on shoulder of highway,1,0,0,0,1,1,#N/A,FALSE,#N/A
170,2021,7/7/2021,USA,CA,Other driver dies in head-on collision,1,0,0,1,0,0,S,FALSE,#N/A
169,2021,6/29/2021,USA,CA," Car crashes into Tesla, fire breaks out ",2,1,0,1,0,1,#N/A,FALSE,#N/A
168,2021,6/19/2021,USA,MI," Tesla hits power pole, runs off road, and ignites ",2,1,1,0,0,2,#N/A,FALSE,#N/A
167,2021,6/16/2021,USA,FL," Tesla crashes, driver later dies in hospital ",1,1,0,0,0,1,#N/A,FALSE,#N/A
165,2021,6/11/2021,USA,WA,Tesla crashes through backyard fence,1,1,0,0,0,1,#N/A,FALSE,#N/A
164,2021,6/11/2021,USA,NY,Driver crashes into senior living facility,1,0,1,0,0,1,#N/A,FALSE,#N/A
163,2021,6/1/2021,USA,WA," Tesla hits concrete barrier, later catches on fire ",1,1,0,0,0,1,#N/A,FALSE,#N/A
162,2021,5/26/2021,USA,VA,Tesla involved in multi-car highway accident,4,0,0,4,0,0,#N/A,FALSE,#N/A
159,2021,5/5/2021,USA,CA,Multi-event collision with truck on highway,1,1,0,0,0,1,3,TRUE,13781-5609
158,2021,4/17/2021,USA,TX," Tesla crashes into tree, bursts into fire ",2,0,0,0,0,2,S,TRUE,#N/A
155,2021,4/14/2021,USA,TX,Head-on collision involving a Tesla,1,1,0,0,0,1,#N/A,FALSE,#N/A
153,2021,4/3/2021,USA,PA," Tesla loses control, hits railing and cut in half ",2,1,1,0,0,2,#N/A,FALSE,#N/A
148,2021,3/10/2021,USA,CA," Tesla crashes into tree, occupants killed ",2,1,1,0,0,1,#N/A,FALSE,#N/A
147,2021,3/7/2021,USA,OH,3 car collision near intersection,1,0,0,1,0,0,#N/A,FALSE,#N/A
146,2021,2/22/2021,USA,CA,High speed crash into telephone poll,1,1,0,0,0,1,#N/A,FALSE,#N/A
145,2021,1/22/2021,USA,AZ," Tesla crashes into tree, occupants killed ",2,1,1,0,0,2,#N/A,FALSE,#N/A
144,2021,1/21/2021,USA,CO," Tesla hits car and car crashes, driver later dies ",1,0,0,1,0,0,#N/A,FALSE,#N/A
143,2021,1/15/2021,USA,FL," Head-on collision involving a Tesla, other driver dies ",1,0,0,1,0,0,#N/A,FALSE,#N/A
142,2021,1/10/2021,USA,UT," Car collides with Tesla, both drivers die ",2,1,0,1,0,0,#N/A,FALSE,#N/A
140,2020,12/11/2020,USA,FL," Pedestrians hit and run by Tesla, one died from injuries ",1,0,0,0,1,1,#N/A,FALSE,#N/A
138,2020,12/4/2020,USA,CA," Car loses control, goes airborne, hits telephone pole ",1,0,1,0,0,1,#N/A,FALSE,#N/A
137,2020,11/16/2020,USA,MO,Five-vehicle pileup involving truck,1,0,0,1,0,0,Y,FALSE,#N/A
136,2020,10/31/2020,USA,CA," Car hit by a Tesla, driver later died from injuries ",1,0,0,1,0,0,Y,FALSE,#N/A
135,2020,10/10/2020,USA,CA,Motorcyclist died after rear-ending a Tesla,1,0,0,1,0,0,Y,FALSE,#N/A
133,2020,9/17/2020,USA,GA," Car loses control, hits bus shelter ",1,0,0,0,1,1,3,TRUE,13781-3847
132,2020,9/12/2020,USA,CA," Car lands on Tesla, other vehicle driver dies ",1,0,0,1,0,0,#N/A,FALSE,#N/A
131,2020,9/6/2020,USA,IL," Tesla runs thru red light, crashes, driver dies at scene ",1,1,0,0,0,1,#N/A,FALSE,#N/A
129,2020,8/24/2020,USA,VA," Two car collision at intersection, other driver dies afterwards ",1,0,0,1,0,0,X,FALSE,#N/A
127,2020,8/12/2020,USA,CA,Tesla hits two cars along exit ramp & catches fire,2,1,1,0,0,1,#N/A,TRUE,#N/A
126,2020,8/2/2020,USA,CA," Tesla crashes into tree, ignites, kills driver and passenger ",2,1,1,0,0,1,#N/A,FALSE,#N/A
125,2020,7/18/2020,USA,UT," Tesla races other car, other car crashes ",1,0,0,1,0,0,#N/A,FALSE,#N/A
124,2020,6/23/2020,USA,GA,Vehicle collides with Tesla at intersection,1,0,0,1,0,0,#N/A,FALSE,#N/A
120,2020,5/25/2020,USA,CA,Tesla goes off cliff and later found,1,1,0,0,0,1,#N/A,FALSE,#N/A
119,2020,5/14/2020,USA,CA,Two-car collision,1,0,0,1,0,0,3,TRUE,13781-2423
118,2020,5/5/2020,USA,CA,Drunk driver strikes Tesla,1,0,0,1,0,0,#N/A,FALSE,#N/A
114,2020,4/1/2020,USA,OH,Tesla drive off road into tree,1,1,0,0,0,1,3,FALSE,#N/A
113,2020,3/8/2020,USA,GA,Motorcyclist rear ends Tesla,1,0,0,1,0,0,#N/A,FALSE,#N/A
111,2020,2/24/2020,USA,CA,Driver dies as Tesla goes down embankment,1,1,0,0,0,1,#N/A,FALSE,#N/A
