Case #,Year,Date,Country,State,Description,Deaths,Tesla driver,Tesla occupant,Other vehicle,Cyclists/Peds,TSLA+cycl / peds,Model,Autopilot claimed,Reported in NHTSA SGO
30,2017,5/11/2017,USA,FL,Tesla into oncoming traffic,1,0,0,1,0,0,#N/A,FALSE,#N/A
28,2017,3/13/2017,USA,CA,Tesla kills pedestrian,1,0,0,0,1,1,#N/A,FALSE,#N/A
26,2016,12/20/2016,USA,CA,Tesla kills pedestrian,1,0,0,0,1,1,X,FALSE,#N/A
25,2016,11/23/2016,USA,IL,Driver dead in Winnebago County,1,1,0,0,0,1,S,FALSE,#N/A
24,2016,11/3/2016,USA,IN,Indianapolis fire,2,1,1,0,0,2,#N/A,FALSE,#N/A
23,2016,10/10/2016,USA,NH,Pileup,1,0,0,1,0,0,S,FALSE,#N/A
22,2016,10/7/2016,USA,CA,Tesla kills motorcyclist,1,0,0,1,0,0,#N/A,FALSE,#N/A
20,2016,9/1/2016,USA,FL,Motorcyclist rear ends Tesla,1,0,0,1,0,0,#N/A,FALSE,#N/A
19,2016,8/15/2016,USA,CA,Tesla rear ended,1,0,1,0,0,1,S,FALSE,#N/A
18,2016,7/29/2016,USA,FL,Tesla kills pedestrian,1,0,0,0,1,1,#N/A,FALSE,#N/A
17,2016,7/22/2016,USA,CA,Passat strikes Tesla,1,0,0,1,0,0,S,FALSE,#N/A
16,2016,6/8/2016,USA,HI,Nissan Altima wrong way into Tesla,1,0,0,1,0,0,#N/A,FALSE,#N/A
15,2016,5/7/2016,USA,FL,Autopilot into 18 wheeler,1,1,0,0,0,1,#N/A,TRUE,missing
14,2016,4/22/2016,USA,CA,Pedestrian killed in pileup,1,0,0,0,1,1,S,FALSE,#N/A
13,2016,4/8/2016,USA,OH,Chevy Cobalt wrong way into Tesla,1,0,0,1,0,0,#N/A,FALSE,#N/A
11,2015,12/28/2015,USA,TX,Sudden unintended acceleration into pool,1,1,0,0,0,1,#N/A,FALSE,#N/A
9,2015,11/18/2015,USA,CA,Tesla kills pedestrian,1,0,0,0,1,1,#N/A,FALSE,#N/A
8,2015,6/22/2015,USA,CA,Tesla drives off cliff,1,1,0,0,0,1,#N/A,FALSE,#N/A
7,2015,1/22/2015,USA,CA,Tesla drives off cliff,1,1,0,0,0,1,S,FALSE,#N/A
6,2014,12/30/2014,USA,CA,Tesla drives off cliff,1,1,0,0,0,1,#N/A,FALSE,#N/A
5,2014,7/14/2014,USA,CA,Tesla kills motorcyclist,1,0,0,1,0,0,#N/A,FALSE,#N/A
4,2014,7/4/2014,USA,CA,Thief crashes stolen Tesla,1,1,0,0,0,1,#N/A,FALSE,#N/A
3,2014,7/4/2014,USA,CA,Tesla rear ends stopped car,3,0,0,3,0,0,#N/A,FALSE,#N/A
2,2013,11/2/2013,USA,CA,Tesla kills cyclist,1,0,0,0,1,1,#N/A,FALSE,#N/A
1,2013,4/2/2013,USA,CA,Tesla veers into opposite lane,2,0,0,2,0,0,S,FALSE,#N/A
